net106,227.23µm
core_inst.rf_mem_if.o_wb_rdt\[2\],227.21µm
net706,227.035µm
net751,226.765µm
net736,226.67µm
net145,225.71µm
core_inst.o_wb_dat\[22\],225.625µm
net1004,224.42µm
net561,223.87µm
_1556_,223.71µm
clknet_leaf_23_clk_regs,223.48µm
net745,223.065µm
net495,222.85µm
net800,222.79µm
net699,222.33µm
_1901_,222.28µm
core_inst.rf_mem_if.o_wb_rdt\[5\],222.19µm
clknet_leaf_24_clk_regs,222.11µm
clknet_leaf_21_clk_regs,222.06µm
_0192_,222.04µm
net772,222.01µm
final_a\[4\],221.86µm
net574,220.79µm
clknet_leaf_22_clk_regs,220.34µm
clknet_leaf_6_clk_regs,219.92µm
net508,219.43µm
_0187_,218.78µm
net657,218.56µm
_0690_,217.81µm
net793,217.76µm
clknet_leaf_14_clk_regs,216.69µm
net49,216.36µm
clknet_leaf_30_clk_regs,215.95µm
net636,215.24µm
clknet_leaf_27_clk_regs,214.12µm
_2051_,214.055µm
clknet_leaf_26_clk_regs,213.7µm
net78,212.9µm
_0181_,212.17µm
net155,211.625µm
router_inst.inject_flit\[27\],211.53µm
net768,211.04µm
net585,210.39µm
_0085_,210.05µm
net794,209.54µm
_2082_,208.93µm
_0799_,208.76µm
_0582_,208.7µm
clknet_leaf_25_clk_regs,208.22µm
net520,208.01µm
clknet_leaf_19_clk_regs,207.78µm
core_inst.o_wb_dat\[24\],207.075µm
net755,206.67µm
net144,206.635µm
clknet_leaf_9_clk_regs,206.28µm
_0563_,205.9µm
net774,205.76µm
net766,205.515µm
net190,204.03µm
_0713_,203.43µm
_2030_,202.435µm
clknet_leaf_20_clk_regs,202.36µm
net686,202.26µm
net181,202.145µm
net198,201.235µm
net467,201.07µm
_0200_,201.05µm
_0179_,200.84µm
core_inst.rf_mem_if.o_wb_rdt\[14\],199.77µm
clknet_leaf_12_clk_regs,199.76µm
net283,199.27µm
net154,198.9µm
net224,198.34µm
net635,198.335µm
net278,198.11µm
net301,197.485µm
clknet_leaf_3_clk_regs,196.2µm
_2290_,195.77µm
net368,194.98µm
_0119_,194.52µm
net76,192.955µm
_1964_,192.73µm
net123,192.37µm
clknet_leaf_33_clk_regs,192.28µm
net282,192.08µm
net754,191.72µm
net112,191.62µm
net277,190.4µm
net594,190.25µm
net758,189.75µm
net387,189.33µm
_0767_,188.9µm
_0212_,187.93µm
net243,187.92µm
net717,187.535µm
net486,187.34µm
net376,186.63µm
net110,186.015µm
clknet_leaf_2_clk_regs,185.66µm
net153,185.58µm
net586,185.53µm
net584,185.52µm
core_inst.servile.cpu.csr_imm\[0\],185.51µm
clknet_leaf_35_clk_regs,185.51µm
net798,185.28µm
_1864_,184.86µm
core_inst.rf_mem_if.o_wb_rdt\[23\],184.48µm
core_inst.rf_mem_if.o_wb_rdt\[6\],184.34µm
net325,184.34µm
net421,184.34µm
_0816_,184.33µm
core_inst.servile.cpu.o_wdata1\[0\],184.24µm
net247,184.15µm
net573,184.06µm
net514,183.92µm
_0810_,183.77µm
_1943_,183.77µm
_1951_,183.61µm
net771,183.42µm
net753,182.81µm
net558,182.51µm
net750,182.34µm
_0196_,182.33µm
_0538_,182.33µm
net599,182.3µm
_0782_,182.05µm
net752,181.97µm
clknet_leaf_18_clk_regs,181.79µm
_0178_,181.72µm
_2080_,181.64µm
clknet_leaf_11_clk_regs,181.23µm
net522,181.03µm
net681,180.98µm
net728,180.62µm
net267,180.47µm
_2067_,180.09µm
net294,180.04µm
net591,179.73µm
_0878_,178.73µm
net179,178.41µm
net129,177.88µm
net246,177.58µm
net232,177.34µm
_0648_,177.045µm
net410,176.5µm
_0804_,176.49µm
_2058_,176.345µm
net663,176.32µm
net213,175.42µm
core_inst.o_wb_dat\[31\],174.8µm
net672,174.68µm
_2368_,174.5µm
clknet_leaf_5_clk_regs,173.885µm
net61,173.42µm
_0591_,173.28µm
net188,173.23µm
net315,172.91µm
_0637_,172.59µm
_2000_,171.405µm
_0683_,171.39µm
net291,170.995µm
_1979_,170.93µm
router_inst.inject_flit\[15\],170.895µm
_0527_,170.88µm
router_inst.inject_flit\[14\],170.88µm
net215,170.87µm
net44,170.465µm
net767,170.065µm
net113,169.445µm
net184,168.705µm
net646,168.57µm
dft_rdata[6],168.47µm
net182,168.19µm
net195,168.15µm
net788,168.1µm
_0790_,167.81µm
core_inst.o_wb_dat\[11\],167.715µm
_0822_,166.97µm
core_inst.rf_mem_if.o_wb_rdt\[19\],166.675µm
_0681_,166.165µm
net509,165.86µm
net226,165.44µm
_1909_,165.425µm
net590,165.35µm
net53,164.93µm
net732,164.74µm
net589,164.65µm
net648,164.65µm
core_inst.rf_mem_if.o_wb_rdt\[18\],164.42µm
net784,163.94µm
_0762_,163.48µm
core_inst.o_wb_dat\[16\],163.48µm
core_inst.servile.cpu.o_wdata0\[0\],163.29µm
net89,163.235µm
clknet_leaf_37_clk_regs,163.16µm
net86,163.05µm
core_inst.rf_mem_if.o_wb_rdt\[17\],162.85µm
core_inst.o_wb_dat\[21\],162.335µm
net760,162.32µm
core_inst.o_wb_dat\[3\],161.525µm
net163,161.085µm
net719,160.79µm
net1005,160.77µm
net95,160.14µm
_0843_,159.93µm
net286,159.545µm
clknet_leaf_1_clk_regs,159.44µm
net75,158.705µm
clknet_leaf_13_clk_regs,158.68µm
net776,158.45µm
net775,158.43µm
net72,158.07µm
net233,157.6µm
net769,157.5µm
net225,157.04µm
core_inst.o_wb_dat\[27\],156.615µm
net746,156.49µm
net393,156.34µm
router_inst.inject_flit\[3\],156.01µm
net118,155.675µm
net641,155.65µm
_0759_,155.4µm
net203,155.345µm
net777,155.28µm
_2086_,155.21µm
clknet_leaf_29_clk_regs,154.76µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[5\],154.75µm
net60,154.38µm
_2341_,154.25µm
net199,154.1µm
net748,154.045µm
core_inst.servile.cpu.decode.co_mem_word,154.025µm
net137,153.82µm
net285,153.72µm
clknet_leaf_0_clk_regs,153.23µm
net62,153.155µm
_1826_,152.845µm
net311,152.735µm
net305,152.325µm
net518,152.01µm
net266,151.86µm
net149,151.675µm
net300,151.53µm
net178,151.145µm
net130,150.565µm
_0754_,150.32µm
_0106_,150.23µm
net820,149.79µm
net342,149.62µm
_1537_,149.57µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm24_20\[0\],149.44µm
core_inst.o_wb_dat\[30\],149.01µm
_0926_,148.4µm
net189,148.27µm
net223,148.17µm
net52,148.065µm
net744,147.94µm
net792,147.53µm
net54,147.48µm
net114,147.38µm
net786,146.92µm
_1779_,146.83µm
net1008,146.82µm
net764,146.72µm
net45,146.585µm
net770,145.51µm
core_inst.o_wb_dat\[12\],145.5µm
core_inst.servile.cpu.state.gen_csr.misalign_trap_sync_r,144.96µm
router_inst.inject_flit\[10\],144.96µm
net96,144.545µm
core_inst.o_wb_dat\[17\],144.39µm
_0928_,144.3µm
net782,144.195µm
_1536_,143.74µm
net120,143.545µm
core_inst.servile.cpu.bufreg.i_sh_signed,143.51µm
net164,143.51µm
net47,143.46µm
router_inst.inject_flit\[21\],143.34µm
core_inst.servile.cpu.decode.co_ebreak,143.09µm
net151,142.7µm
net121,142.465µm
net117,142.33µm
_0739_,141.45µm
_1257_,141.45µm
net115,141.395µm
net733,141.32µm
net528,140.86µm
_2111_,140.84µm
net100,140.8µm
_2259_,140.61µm
router_inst.inject_flit\[22\],140.555µm
_2077_,140.43µm
net119,140.25µm
net763,139.92µm
net781,139.895µm
net482,139.59µm
net109,139.58µm
_0756_,138.84µm
core_inst.servile.cpu.bufreg2.i_bytecnt\[0\],138.8µm
net260,138.7µm
core_inst.o_wb_dat\[25\],138.67µm
net280,138.42µm
_0828_,138.41µm
_2022_,138.315µm
net336,138.28µm
net510,137.35µm
net252,137.3µm
router_inst.inject_flit\[16\],137.24µm
_0685_,137.16µm
clknet_1_0__leaf_clk,137.11µm
net248,136.88µm
net88,136.865µm
boot_mode_q,136.23µm
net237,135.95µm
net186,135.895µm
net262,135.62µm
net404,135.57µm
net140,134.97µm
_0606_,134.855µm
net147,134.85µm
_0034_,134.78µm
net122,134.585µm
net177,134.495µm
sram2048.q_bank1\[3\],134.395µm
net217,133.48µm
net314,133.325µm
net312,133.225µm
net799,132.77µm
core_inst.rf_mem_if.o_wb_rdt\[16\],132.4µm
_0842_,132.285µm
net637,131.585µm
_0668_,131.47µm
net134,131.44µm
net229,131.42µm
net484,131.24µm
net146,130.81µm
net521,130.78µm
net200,130.665µm
_1237_,130.63µm
net313,130.19µm
net718,129.47µm
net749,129.09µm
router_inst.inject_flit\[24\],129.02µm
net735,129µm
net183,128.715µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[0\],128.04µm
router_inst.inject_flit\[30\],127.83µm
net515,127.71µm
net275,127.7µm
net143,127.625µm
net498,127.55µm
core_inst.o_wb_dat\[10\],127.395µm
net212,127.36µm
net366,127.22µm
core_inst.o_wb_dat\[13\],127.125µm
net634,126.76µm
net136,126.16µm
core_inst.o_wb_dat\[29\],125.82µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[7\],125.73µm
_1873_,125.385µm
