core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[25\],25.705µm
_2293_,25.63µm
dft_addr[3],25.62µm
router_inst.fifo_mem\[2\]\[26\],25.61µm
_0976_,25.59µm
_1747_,25.58µm
_1823_,25.58µm
_2202_,25.555µm
net917,25.55µm
_0227_,25.53µm
_0269_,25.53µm
_0295_,25.53µm
_2229_,25.53µm
net987,25.48µm
_2012_,25.48µm
router_inst.fifo_mem\[2\]\[19\],25.48µm
router_inst.fifo_mem\[2\]\[5\],25.48µm
router_inst.fifo_mem\[2\]\[1\],25.425µm
core_inst.servile.cpu.state.ibus_cyc,25.4µm
net945,25.34µm
boot_addr[8],25.34µm
_0086_,25.25µm
_0558_,25.25µm
_1116_,25.25µm
_0986_,25.2µm
core_inst.servile.cpu.ctrl.pc_plus_4_cy_r_w\[0\],25.2µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[12\],25.145µm
nw_in[5],25.06µm
router_inst.fifo_mem\[2\]\[20\],25.02µm
router_inst.fifo_mem\[2\]\[2\],25µm
_2069_,24.98µm
_2032_,24.97µm
_0297_,24.92µm
_0901_,24.92µm
_1006_,24.92µm
_2059_,24.92µm
router_inst.fifo_mem\[0\]\[20\],24.88µm
_2070_,24.83µm
_1539_,24.74µm
net341,24.74µm
_0042_,24.69µm
_1760_,24.69µm
router_inst.fifo_mem\[3\]\[25\],24.69µm
router_inst.fifo_mem\[3\]\[8\],24.69µm
net363,24.69µm
net980,24.64µm
router_inst.fifo_mem\[3\]\[0\],24.64µm
_1474_,24.55µm
net874,24.5µm
north_in[23],24.5µm
_0063_,24.46µm
_0860_,24.46µm
_1546_,24.41µm
_2219_,24.41µm
core_inst.servile.cpu.decode.op22,24.375µm
_1608_,24.36µm
_2220_,24.36µm
router_inst.fifo_mem\[2\]\[16\],24.305µm
net270,24.305µm
_1913_,24.27µm
router_inst.fifo_mem\[0\]\[1\],24.27µm
_1506_,24.23µm
router_inst.fifo_mem\[1\]\[9\],24.22µm
net633,24.18µm
_0324_,24.17µm
_0617_,24.155µm
_0973_,24.15µm
net346,24.13µm
_0939_,24.11µm
_0983_,24.105µm
west_out[8],24.1µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[20\],24.08µm
net259,24.08µm
dft_addr[2],23.94µm
dft_we,23.94µm
ne_in[5],23.94µm
south_in[23],23.94µm
_1319_,23.85µm
_1961_,23.85µm
_0818_,23.8µm
_0863_,23.8µm
_0932_,23.8µm
_1183_,23.8µm
_1720_,23.8µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[3\],23.71µm
_0872_,23.67µm
router_inst.fifo_mem\[0\]\[19\],23.66µm
_0397_,23.61µm
_1789_,23.595µm
_1578_,23.57µm
_2313_,23.57µm
core_inst.servile.rf_ram_if.wdata1_r\[2\],23.57µm
core_inst.servile.rf_ram_if.wdata1_r\[7\],23.57µm
_1113_,23.565µm
net1014,23.52µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm7,23.51µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[27\],23.465µm
_1371_,23.385µm
west_in[5],23.38µm
dft_rdata[2],23.38µm
_0970_,23.34µm
router_inst.fifo_mem\[2\]\[11\],23.34µm
_1984_,23.315µm
_0724_,23.29µm
_1514_,23.29µm
_2158_,23.29µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[0\],23.28µm
_0836_,23.24µm
_0892_,23.24µm
_1389_,23.24µm
_1782_,23.24µm
router_inst.fifo_mem\[2\]\[22\],23.185µm
_0371_,23.15µm
_0376_,23.15µm
_0377_,23.15µm
core_inst.servile.rf_ram_if.rcnt\[1\],23.11µm
_0309_,23.1µm
net31,23.1µm
net35,23.1µm
dft_addr[7],23.1µm
net281,23.06µm
_0102_,23.01µm
net963,23.01µm
_0633_,23.01µm
_1145_,23.01µm
_1184_,23.01µm
_1519_,23.01µm
router_inst.fifo_mem\[3\]\[26\],23.01µm
net456,23.01µm
_0054_,22.96µm
_1358_,22.96µm
_1393_,22.96µm
net331,22.96µm
net405,22.96µm
_0382_,22.92µm
_0380_,22.87µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[31\],22.87µm
_1429_,22.855µm
net907,22.82µm
_0437_,22.78µm
_1838_,22.78µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[15\],22.765µm
_0971_,22.73µm
_1105_,22.73µm
_2230_,22.72µm
_0101_,22.68µm
_1605_,22.68µm
_1821_,22.68µm
_1981_,22.68µm
_2118_,22.68µm
_2298_,22.68µm
_0919_,22.6µm
router_inst.fifo_mem\[1\]\[26\],22.59µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[26\],22.575µm
_0809_,22.54µm
_1756_,22.5µm
_0877_,22.49µm
_1572_,22.45µm
_1616_,22.45µm
_2268_,22.45µm
core_inst.servile.rf_ram_if.wen1_r,22.45µm
net993,22.4µm
net1007,22.4µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[10\],22.31µm
east_out[17],22.31µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[17\],22.295µm
net864,22.26µm
net901,22.26µm
_0286_,22.22µm
_0900_,22.22µm
_1718_,22.215µm
_1194_,22.21µm
net968,22.17µm
_0249_,22.17µm
_0662_,22.17µm
_1458_,22.17µm
_1809_,22.17µm
_1905_,22.17µm
_0599_,22.12µm
_0780_,22.12µm
_1060_,22.12µm
_1112_,22.12µm
_1138_,22.12µm
_1897_,22.12µm
_2199_,22.12µm
router_inst.fifo_mem\[0\]\[15\],22.12µm
core_inst.servile.cpu.gen_csr.csr.mcause31,22.03µm
core_inst.rf_mem_if.i_raddr\[1\],21.99µm
net890,21.98µm
router_inst.fifo_mem\[1\]\[4\],21.98µm
_0393_,21.93µm
_0761_,21.93µm
_0074_,21.89µm
_1806_,21.89µm
router_inst.fifo_mem\[3\]\[11\],21.89µm
router_inst.fifo_mem\[3\]\[22\],21.89µm
net451,21.89µm
net975,21.84µm
_0864_,21.84µm
_1513_,21.84µm
_1716_,21.84µm
core_inst.servile.rf_ram_if.rdata1\[0\],21.84µm
net912,21.7µm
south_out[5],21.7µm
south_out[8],21.7µm
_0532_,21.66µm
_0903_,21.61µm
_1330_,21.61µm
_1655_,21.61µm
_2218_,21.61µm
_2256_,21.61µm
_0073_,21.56µm
_0276_,21.56µm
_0884_,21.56µm
_1914_,21.56µm
net847,21.42µm
_2295_,21.39µm
_0850_,21.33µm
_0937_,21.33µm
core_inst.servile.rf_ram_if.wdata0_r\[1\],21.33µm
net827,21.3µm
_2213_,21.29µm
_1681_,21.28µm
_1788_,21.28µm
_2253_,21.28µm
router_inst.fifo_mem\[1\]\[20\],21.28µm
router_inst.fifo_mem\[3\]\[1\],21.28µm
router_inst.fifo_mem\[1\]\[24\],21.17µm
net888,21.14µm
west_in[23],21.14µm
east_out[8],21.14µm
_0873_,21.05µm
_1544_,21.05µm
_1721_,21.05µm
_1903_,21.05µm
_1904_,21.05µm
_1967_,21.05µm
_2074_,21.05µm
_2174_,21.05µm
_0241_,21µm
_0870_,21µm
_0953_,21µm
_1126_,21µm
_1504_,21µm
_2102_,21µm
router_inst.fifo_mem\[2\]\[27\],20.995µm
core_inst.servile.cpu.alu.cmp_r,20.87µm
net942,20.86µm
_0370_,20.81µm
_0693_,20.77µm
_1310_,20.77µm
_1332_,20.77µm
_1430_,20.77µm
core_inst.servile.rf_ram_if.wdata1_r\[8\],20.77µm
net207,20.77µm
_0057_,20.72µm
net998,20.72µm
_0949_,20.72µm
_2206_,20.72µm
_2296_,20.72µm
_2306_,20.72µm
net19,20.72µm
core_inst.servile.rf_ram_if.rreq_r,20.72µm
net415,20.72µm
net455,20.72µm
dft_addr[0],20.58µm
router_inst.fifo_mem\[0\]\[22\],20.54µm
_2254_,20.535µm
net979,20.49µm
net971,20.49µm
_0510_,20.49µm
_1200_,20.49µm
_1525_,20.49µm
_1542_,20.49µm
net995,20.44µm
_0508_,20.44µm
_0938_,20.44µm
_1963_,20.44µm
_2019_,20.44µm
_2232_,20.44µm
router_inst.fifo_mem\[1\]\[22\],20.44µm
router_inst.fifo_mem\[1\]\[23\],20.44µm
net877,20.35µm
_1196_,20.3µm
net867,20.3µm
net903,20.3µm
_0963_,20.26µm
core_inst.servile.cpu.gen_csr.csr.mstatus_mpie,20.26µm
_0751_,20.25µm
net970,20.21µm
_0515_,20.21µm
_1336_,20.21µm
net416,20.21µm
_1511_,20.16µm
net319,20.16µm
net264,20.16µm
net442,20.16µm
net1046,20.16µm
_0395_,20.12µm
_0935_,20.03µm
_2285_,20.03µm
_1187_,20.025µm
_1773_,20.025µm
net836,20.02µm
net839,20.02µm
net841,20.02µm
net843,20.02µm
net850,20.02µm
net829,20.02µm
net832,20.02µm
net905,20.02µm
net928,20.02µm
net938,20.02µm
net943,20.02µm
net944,20.02µm
net951,20.02µm
net960,20.02µm
boot_addr[6],20.02µm
west_out[0],20.02µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[28\],19.965µm
net982,19.93µm
_0698_,19.93µm
_1443_,19.93µm
_1709_,19.93µm
_1455_,19.92µm
_1589_,19.91µm
_0174_,19.88µm
_0218_,19.88µm
_0627_,19.88µm
_1220_,19.88µm
_1266_,19.88µm
_1583_,19.88µm
_1800_,19.88µm
_2263_,19.88µm
router_inst.fifo_mem\[0\]\[18\],19.88µm
router_inst.fifo_mem\[2\]\[13\],19.88µm
net952,19.74µm
_0991_,19.725µm
_0663_,19.66µm
_1309_,19.66µm
_2121_,19.66µm
_0078_,19.65µm
net10,19.65µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[3\],19.65µm
_0356_,19.61µm
_0019_,19.6µm
_1024_,19.6µm
_1274_,19.6µm
_2267_,19.6µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[16\],19.6µm
router_inst.fifo_mem\[3\]\[12\],19.6µm
_0579_,19.51µm
_0676_,19.47µm
south_out[23],19.46µm
router_inst.fifo_mem\[2\]\[28\],19.42µm
_1452_,19.41µm
_0885_,19.37µm
_0981_,19.37µm
_1339_,19.37µm
_1545_,19.37µm
_0287_,19.32µm
_0408_,19.32µm
_0632_,19.32µm
_0670_,19.32µm
_0853_,19.32µm
_1043_,19.32µm
_1164_,19.32µm
_1256_,19.32µm
_1297_,19.32µm
_1303_,19.32µm
_1669_,19.32µm
_1956_,19.32µm
_2245_,19.32µm
router_inst.fifo_mem\[2\]\[7\],19.32µm
_2299_,19.255µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[19\],19.21µm
_0115_,19.19µm
router_inst.fifo_mem\[0\]\[14\],19.18µm
router_inst.fifo_mem\[1\]\[7\],19.18µm
net939,19.18µm
core_inst.servile.rf_ram_if.rdata1\[6\],19.14µm
router_inst.fifo_mem\[0\]\[16\],19.14µm
_0311_,19.13µm
_2092_,19.13µm
_2151_,19.13µm
router_inst.fifo_mem\[1\]\[11\],19.13µm
_0088_,19.09µm
_0947_,19.09µm
core_inst.rf_mem_if.bsel\[0\],19.09µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[4\],19.09µm
net349,19.09µm
router_inst.fifo_mem\[3\]\[21\],19.09µm
net251,19.09µm
_1674_,19.08µm
_0719_,19.04µm
_0760_,19.04µm
_1663_,19.04µm
_2128_,19.04µm
_2338_,19.04µm
net5,19.04µm
router_inst.inject_flit\[33\],19.04µm
_1446_,18.955µm
_0354_,18.95µm
_1081_,18.95µm
router_inst.fifo_mem\[1\]\[28\],18.935µm
net844,18.9µm
net875,18.9µm
net865,18.9µm
net895,18.9µm
net916,18.9µm
net948,18.9µm
net953,18.9µm
dft_wdata[1],18.9µm
_2147_,18.86µm
router_inst.fifo_mem\[1\]\[5\],18.86µm
net964,18.81µm
_1068_,18.81µm
_1498_,18.81µm
_1597_,18.81µm
_1732_,18.81µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[30\],18.81µm
_1067_,18.76µm
_1294_,18.76µm
_1637_,18.76µm
_2052_,18.76µm
_2317_,18.76µm
_1435_,18.75µm
_0672_,18.715µm
_2322_,18.67µm
router_inst.fifo_mem\[1\]\[21\],18.67µm
net834,18.62µm
net861,18.62µm
net919,18.62µm
net921,18.62µm
router_inst.fifo_mem\[0\]\[10\],18.62µm
net941,18.62µm
net959,18.62µm
_0718_,18.58µm
_0989_,18.58µm
_2345_,18.57µm
_2332_,18.555µm
_0067_,18.53µm
net976,18.53µm
net962,18.53µm
_0673_,18.53µm
_2187_,18.53µm
_2278_,18.53µm
core_inst.servile.rf_ram_if.wdata0_r\[4\],18.53µm
net449,18.53µm
net1022,18.53µm
net999,18.48µm
_1046_,18.48µm
_1704_,18.48µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm30_25\[1\],18.48µm
net29,18.48µm
net318,18.48µm
_1192_,18.34µm
_2320_,18.34µm
net855,18.34µm
dft_wdata[0],18.34µm
_0605_,18.3µm
router_inst.fifo_mem\[0\]\[25\],18.3µm
_2334_,18.26µm
_0237_,18.25µm
_0267_,18.25µm
_1001_,18.25µm
_2124_,18.25µm
_2132_,18.25µm
_2152_,18.25µm
_0094_,18.2µm
_0215_,18.2µm
_0238_,18.2µm
_0990_,18.2µm
_1357_,18.2µm
_1812_,18.2µm
_2261_,18.2µm
router_inst.fifo_mem\[0\]\[13\],18.2µm
_0771_,18.19µm
net21,18.16µm
_0898_,18.07µm
_0807_,18.06µm
net39,18.06µm
router_inst.fifo_mem\[1\]\[2\],18.06µm
_1206_,18.055µm
router_inst.fifo_mem\[3\]\[14\],18.02µm
_2266_,18.01µm
net965,17.97µm
router_inst.fifo_mem\[3\]\[23\],17.97µm
net1027,17.97µm
south_out[30],17.94µm
net972,17.92µm
_1647_,17.92µm
net9,17.92µm
core_inst.servile.rf_ram_if.wdata0_r\[6\],17.92µm
net333,17.92µm
router_inst.fifo_mem\[0\]\[26\],17.92µm
net1045,17.92µm
_1364_,17.83µm
_1793_,17.825µm
_1342_,17.785µm
_0621_,17.78µm
net830,17.78µm
net860,17.78µm
net889,17.78µm
net927,17.78µm
dft_rdata[0],17.78µm
west_out[19],17.78µm
west_out[27],17.78µm
router_inst.fifo_mem\[0\]\[9\],17.74µm
_0952_,17.705µm
net989,17.69µm
_0251_,17.69µm
_1038_,17.69µm
_1077_,17.69µm
_1714_,17.69µm
_1816_,17.69µm
_2155_,17.69µm
_2269_,17.685µm
_0677_,17.64µm
_1155_,17.64µm
_1618_,17.505µm
net885,17.5µm
net906,17.5µm
net913,17.5µm
net896,17.5µm
net900,17.5µm
net940,17.5µm
net957,17.5µm
_2362_,17.455µm
_1328_,17.45µm
_0058_,17.41µm
_0618_,17.41µm
router_inst.fifo_mem\[1\]\[8\],17.41µm
_1420_,17.405µm
_2340_,17.4µm
_0040_,17.36µm
core_inst.rf_mem_if.regzero,17.36µm
net457,17.36µm
net1021,17.36µm
_0389_,17.32µm
_0390_,17.32µm
_2275_,17.28µm
_1574_,17.27µm
_1885_,17.23µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[22\],17.22µm
dft_wdata[4],17.22µm
se_out[23],17.22µm
_0998_,17.18µm
router_inst.fifo_mem\[1\]\[25\],17.18µm
west_out[13],17.14µm
west_out[20],17.14µm
_0288_,17.13µm
_1156_,17.13µm
_1301_,17.13µm
_1566_,17.13µm
_1818_,17.13µm
_1931_,17.13µm
_2039_,17.13µm
_2236_,17.13µm
_0240_,17.08µm
_0294_,17.08µm
_0607_,17.08µm
_1898_,17.08µm
_1983_,17.08µm
_2167_,17.08µm
_2189_,17.08µm
_2221_,17.08µm
_2238_,17.08µm
_2274_,17.08µm
_2337_,17.08µm
router_inst.fifo_mem\[2\]\[14\],17.08µm
_1418_,16.99µm
router_inst.fifo_mem\[0\]\[0\],16.99µm
_1058_,16.975µm
_1198_,16.975µm
router_inst.fifo_mem\[3\]\[9\],16.95µm
_0908_,16.925µm
router_inst.fifo_mem\[3\]\[7\],16.9µm
_1152_,16.89µm
_0135_,16.85µm
_0478_,16.85µm
_0866_,16.85µm
_1465_,16.85µm
_1850_,16.85µm
_2122_,16.85µm
net17,16.85µm
_0105_,16.8µm
_2171_,16.8µm
_0686_,16.72µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[13\],16.71µm
_1422_,16.66µm
net862,16.66µm
net915,16.66µm
net954,16.66µm
net958,16.66µm
boot_data[0],16.66µm
west_out[26],16.66µm
_0886_,16.62µm
_1165_,16.61µm
_0264_,16.57µm
_0266_,16.57µm
_0512_,16.57µm
_0619_,16.57µm
_0958_,16.57µm
_1892_,16.57µm
_1724_,16.565µm
_0223_,16.52µm
_0291_,16.52µm
_0442_,16.52µm
_1334_,16.52µm
_1438_,16.52µm
_1656_,16.52µm
_1925_,16.52µm
_2038_,16.52µm
_2135_,16.52µm
_2175_,16.52µm
_2185_,16.52µm
_2201_,16.52µm
_2246_,16.52µm
_2184_,16.48µm
router_inst.fifo_mem\[2\]\[0\],16.465µm
_0700_,16.43µm
net853,16.43µm
net884,16.43µm
net924,16.43µm
router_inst.fifo_mem\[0\]\[4\],16.43µm
_0459_,16.38µm
net828,16.38µm
net835,16.38µm
net878,16.38µm
net898,16.38µm
router_inst.fifo_mem\[0\]\[24\],16.38µm
net937,16.38µm
_2064_,16.35µm
_1234_,16.34µm
_1350_,16.34µm
_2325_,16.34µm
core_inst.servile.rf_ram_if.rdata0\[3\],16.34µm
router_inst.fifo_mem\[0\]\[2\],16.34µm
_0319_,16.33µm
_0461_,16.33µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[29\],16.31µm
_1573_,16.29µm
core_inst.servile.rf_ram_if.rdata0\[7\],16.29µm
router_inst.fifo_count\[1\],16.29µm
router_inst.fifo_mem\[3\]\[20\],16.29µm
net1043,16.29µm
_1127_,16.285µm
_0933_,16.24µm
_1149_,16.24µm
_1373_,16.24µm
_1631_,16.24µm
_1825_,16.24µm
net434,16.24µm
_1231_,16.15µm
west_out[10],16.15µm
west_out[30],16.15µm
_1169_,16.1µm
boot_data[1],16.1µm
dft_rdata[4],16.1µm
_0666_,16.02µm
_0234_,16.01µm
_0391_,16.01µm
_1409_,16.01µm
_1745_,16.01µm
_2090_,16.01µm
_2125_,16.01µm
_0250_,15.96µm
_0255_,15.96µm
_0281_,15.96µm
_0777_,15.96µm
_0833_,15.96µm
_0925_,15.96µm
_1102_,15.96µm
_1146_,15.96µm
_1186_,15.96µm
_1233_,15.96µm
_1270_,15.96µm
_1305_,15.96µm
_1343_,15.96µm
_1648_,15.96µm
_1820_,15.96µm
_1832_,15.96µm
_1879_,15.96µm
_1969_,15.96µm
_2205_,15.96µm
_1665_,15.95µm
_1999_,15.87µm
_1547_,15.86µm
_0594_,15.82µm
_2043_,15.82µm
_1725_,15.78µm
_0312_,15.77µm
_0050_,15.73µm
_0055_,15.73µm
_0079_,15.73µm
_0504_,15.73µm
_2148_,15.73µm
core_inst.servile.rf_ram_if.rdata1\[4\],15.73µm
net453,15.73µm
west_out[28],15.7µm
west_out[33],15.7µm
west_out[9],15.7µm
net981,15.68µm
_0588_,15.68µm
_0620_,15.68µm
_1697_,15.68µm
net6,15.68µm
_0388_,15.64µm
_1752_,15.64µm
_0495_,15.59µm
se_out[8],15.59µm
_1118_,15.54µm
net838,15.54µm
net833,15.54µm
net904,15.54µm
net908,15.54µm
net933,15.54µm
east_out[23],15.54µm
_0506_,15.5µm
_0623_,15.46µm
_0109_,15.45µm
_0242_,15.45µm
_0244_,15.45µm
_1133_,15.45µm
_2061_,15.45µm
_2141_,15.45µm
_0880_,15.4µm
_0902_,15.4µm
_1015_,15.4µm
_1451_,15.4µm
_2055_,15.4µm
_2169_,15.4µm
_2297_,15.4µm
router_inst.fifo_mem\[0\]\[21\],15.4µm
router_inst.fifo_mem\[3\]\[4\],15.4µm
_1985_,15.315µm
router_inst.fifo_mem\[0\]\[28\],15.31µm
router_inst.fifo_mem\[1\]\[10\],15.31µm
_0631_,15.3µm
_1998_,15.27µm
_1580_,15.265µm
_2068_,15.26µm
net922,15.26µm
_0175_,15.22µm
_0741_,15.22µm
_0061_,15.17µm
_0129_,15.17µm
net984,15.17µm
_0530_,15.17µm
core_inst.servile.cpu.decode.opcode\[2\],15.17µm
_0841_,15.135µm
_1101_,15.13µm
_0043_,15.12µm
_0072_,15.12µm
_1436_,15.12µm
_1777_,15.12µm
_2367_,15.12µm
net25,15.12µm
router_inst.fifo_mem\[3\]\[16\],15.12µm
router_inst.fifo_mem\[3\]\[6\],15.12µm
_1104_,15.08µm
router_inst.fifo_mem\[1\]\[16\],15.08µm
_0317_,15.03µm
_2344_,15.03µm
west_out[18],15.03µm
net879,14.98µm
boot_addr[1],14.98µm
boot_data[2],14.98µm
dft_rdata[5],14.98µm
west_out[1],14.98µm
_0614_,14.94µm
_0985_,14.94µm
router_inst.fifo_mem\[1\]\[27\],14.94µm
_0132_,14.89µm
_0217_,14.89µm
_0292_,14.89µm
_0544_,14.89µm
_1341_,14.89µm
_1419_,14.89µm
_1558_,14.89µm
_2054_,14.89µm
router_inst.fifo_mem\[2\]\[4\],14.89µm
_0274_,14.84µm
_0505_,14.84µm
_0888_,14.84µm
_1023_,14.84µm
_1171_,14.84µm
_1497_,14.84µm
_2136_,14.84µm
_2372_,14.84µm
_0322_,14.7µm
_2085_,14.7µm
_0327_,14.69µm
_2084_,14.65µm
_2255_,14.65µm
net990,14.61µm
_0469_,14.61µm
_1654_,14.61µm
_1754_,14.61µm
net1054,14.61µm
_1376_,14.605µm
_2363_,14.6µm
west_out[2],14.58µm
_0734_,14.57µm
_0051_,14.56µm
_1132_,14.56µm
_1179_,14.56µm
_1241_,14.56µm
_2130_,14.56µm
net30,14.56µm
nb_state\[0\],14.56µm
router_inst.fifo_mem\[3\]\[18\],14.56µm
router_inst.fifo_mem\[3\]\[28\],14.56µm
_1473_,14.475µm
west_out[15],14.47µm
net1038,14.455µm
router_inst.fifo_mem\[0\]\[27\],14.45µm
_2239_,14.43µm
_1201_,14.425µm
net869,14.42µm
net930,14.42µm
boot_addr[0],14.42µm
dft_mode,14.42µm
dft_rdata[3],14.42µm
south_out[29],14.42µm
west_out[14],14.42µm
west_out[21],14.42µm
west_out[24],14.42µm
west_out[7],14.42µm
_1304_,14.405µm
_1550_,14.405µm
_0245_,14.38µm
_0667_,14.38µm
_2305_,14.38µm
_0095_,14.33µm
net988,14.33µm
_0893_,14.33µm
_1424_,14.33µm
_1741_,14.33µm
_1861_,14.33µm
_1862_,14.33µm
_2026_,14.33µm
_2194_,14.33µm
_0221_,14.28µm
_0273_,14.28µm
_0282_,14.28µm
_0433_,14.28µm
_0786_,14.28µm
_1082_,14.28µm
_1243_,14.28µm
_1623_,14.28µm
_1632_,14.28µm
_1762_,14.28µm
_2196_,14.28µm
_2226_,14.28µm
_2244_,14.28µm
_1390_,14.275µm
_0968_,14.225µm
_0821_,14.19µm
net863,14.19µm
core_inst.servile.cpu.ctrl.i_jump,14.175µm
_0300_,14.14µm
_0303_,14.14µm
_1896_,14.1µm
_0014_,14.09µm
_0472_,14.09µm
_0477_,14.05µm
_1157_,14.05µm
_2073_,14.05µm
core_inst.servile.cpu.branch_op,14.05µm
net358,14.05µm
_1615_,14.04µm
east_out[31],14.02µm
_1361_,14.01µm
_0022_,14µm
net996,14µm
_0481_,14µm
_0785_,14µm
_0847_,14µm
_1450_,14µm
_2179_,14µm
router_inst.fifo_count\[2\],14µm
_0341_,13.96µm
_0386_,13.96µm
_1352_,13.91µm
_1204_,13.86µm
_1413_,13.86µm
boot_data[4],13.86µm
boot_mode,13.86µm
dft_rdata[1],13.86µm
east_out[32],13.86µm
west_out[32],13.86µm
_1977_,13.82µm
router_inst.fifo_mem\[3\]\[27\],13.82µm
_0861_,13.795µm
_0025_,13.77µm
_0030_,13.77µm
_0254_,13.77µm
_0261_,13.77µm
_0434_,13.77µm
_1494_,13.77µm
_1639_,13.77µm
_2053_,13.77µm
_2115_,13.77µm
_0285_,13.72µm
_0329_,13.72µm
_0447_,13.72µm
_0450_,13.72µm
_1150_,13.72µm
_1269_,13.72µm
_1289_,13.72µm
_1374_,13.72µm
_1437_,13.72µm
_1854_,13.72µm
_2028_,13.72µm
_2159_,13.72µm
_2198_,13.72µm
_2282_,13.72µm
_2350_,13.72µm
_1489_,13.7µm
_1395_,13.63µm
_2272_,13.63µm
_0351_,13.58µm
_0907_,13.56µm
_0059_,13.54µm
_2342_,13.53µm
_0117_,13.49µm
_0503_,13.49µm
_0592_,13.49µm
_0738_,13.49µm
_1083_,13.49µm
_1360_,13.49µm
_1667_,13.49µm
net13,13.49µm
core_inst.servile.rf_ram_if.rdata1\[3\],13.49µm
router_inst.fifo_rd_ptr\[1\],13.49µm
net1024,13.49µm
_0045_,13.44µm
_0127_,13.44µm
net978,13.44µm
_0541_,13.44µm
_0593_,13.44µm
_0650_,13.44µm
_1791_,13.44µm
_1810_,13.44µm
net28,13.44µm
net1032,13.44µm
_0737_,13.4µm
_1065_,13.35µm
_1459_,13.35µm
net845,13.3µm
boot_addr[2],13.3µm
east_out[11],13.3µm
west_out[11],13.3µm
_0509_,13.26µm
_0929_,13.26µm
_1053_,13.26µm
_1354_,13.25µm
_0002_,13.21µm
_0248_,13.21µm
_0268_,13.21µm
_0422_,13.21µm
_0426_,13.21µm
_0542_,13.21µm
_0727_,13.21µm
_1803_,13.21µm
_1837_,13.21µm
_1928_,13.21µm
_2312_,13.21µm
_2176_,13.18µm
_1404_,13.165µm
net969,13.16µm
_0208_,13.16µm
_0214_,13.16µm
_0444_,13.16µm
_0446_,13.16µm
_0514_,13.16µm
_0572_,13.16µm
_1168_,13.16µm
_1244_,13.16µm
_1363_,13.16µm
_1563_,13.16µm
_1629_,13.16µm
_1755_,13.16µm
_1907_,13.16µm
_1988_,13.16µm
_1995_,13.16µm
_2027_,13.16µm
_2182_,13.16µm
_2243_,13.16µm
_2258_,13.16µm
_2316_,13.16µm
router_inst.fifo_mem\[1\]\[18\],13.16µm
_1887_,13.075µm
_0827_,13.07µm
_1224_,13.07µm
_0740_,13.02µm
net892,13.02µm
_0502_,12.98µm
core_inst.servile.rf_ram_if.wdata0_r\[3\],12.98µm
_0307_,12.97µm
_0347_,12.97µm
_0466_,12.97µm
_0717_,12.97µm
_2343_,12.97µm
_0999_,12.955µm
net974,12.93µm
_0705_,12.93µm
_1711_,12.93µm
_1753_,12.93µm
_2265_,12.93µm
core_inst.servile.rf_ram_if.rdata0\[2\],12.93µm
core_inst.servile.rf_ram_if.rdata1\[2\],12.93µm
net261,12.93µm
net1037,12.93µm
_2087_,12.925µm
net997,12.88µm
_0641_,12.88µm
_0923_,12.88µm
_1107_,12.88µm
_1121_,12.88µm
_1124_,12.88µm
_1255_,12.88µm
_1508_,12.88µm
_1549_,12.88µm
_1571_,12.88µm
_2066_,12.88µm
core_inst.servile.rf_ram_if.rdata0\[5\],12.88µm
core_inst.servile.rf_ram_if.wdata0_r\[0\],12.88µm
net1019,12.88µm
_1033_,12.87µm
_1069_,12.84µm
_1486_,12.79µm
west_out[12],12.79µm
_1048_,12.785µm
_1114_,12.785µm
_0653_,12.765µm
_1454_,12.745µm
dft_ce,12.74µm
se_out[11],12.74µm
west_out[3],12.74µm
_1293_,12.7µm
_0531_,12.65µm
_1442_,12.65µm
_1587_,12.65µm
_1846_,12.65µm
_1959_,12.65µm
_2369_,12.65µm
_0020_,12.6µm
_0545_,12.6µm
_0778_,12.6µm
_1047_,12.6µm
_1212_,12.6µm
_1323_,12.6µm
_1470_,12.6µm
_1579_,12.6µm
_1876_,12.6µm
_1955_,12.6µm
_1990_,12.6µm
_2166_,12.6µm
_2211_,12.6µm
_2237_,12.6µm
